Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1639570300,2021-12-15T12:11:40Z,AZU4611,"-22.561775,-41.921185",4875,232,39
1639570306,2021-12-15T12:11:46Z,AZU4611,"-22.556515,-41.917164",4775,231,33
1639570309,2021-12-15T12:11:49Z,AZU4611,"-22.553787,-41.915237",4700,230,33
1639570312,2021-12-15T12:11:52Z,AZU4611,"-22.551022,-41.9133",4650,230,33
1639570319,2021-12-15T12:11:59Z,AZU4611,"-22.545015,-41.909027",4525,230,33
1639570342,2021-12-15T12:12:22Z,AZU4611,"-22.524628,-41.894566",4000,224,33
1639570351,2021-12-15T12:12:31Z,AZU4611,"-22.516666,-41.888836",3850,214,33
1639570357,2021-12-15T12:12:37Z,AZU4611,"-22.511581,-41.885178",3775,210,33
1639570366,2021-12-15T12:12:46Z,AZU4611,"-22.504282,-41.880085",3675,205,33
1639570372,2021-12-15T12:12:52Z,AZU4611,"-22.499359,-41.876587",3575,203,33
1639570379,2021-12-15T12:12:59Z,AZU4611,"-22.494461,-41.873119",3450,201,33
1639570385,2021-12-15T12:13:05Z,AZU4611,"-22.489712,-41.869762",3350,196,33
1639570391,2021-12-15T12:13:11Z,AZU4611,"-22.485397,-41.866699",3250,192,33
1639570397,2021-12-15T12:13:17Z,AZU4611,"-22.48082,-41.863403",3150,189,33
1639570403,2021-12-15T12:13:23Z,AZU4611,"-22.476242,-41.860207",3050,184,33
1639570409,2021-12-15T12:13:29Z,AZU4611,"-22.471882,-41.857098",2950,179,33
1639570415,2021-12-15T12:13:35Z,AZU4611,"-22.467636,-41.854065",2875,174,33
1639570421,2021-12-15T12:13:41Z,AZU4611,"-22.463699,-41.851269",2775,171,33
1639570427,2021-12-15T12:13:47Z,AZU4611,"-22.45978,-41.848499",2700,167,33
1639570433,2021-12-15T12:13:53Z,AZU4611,"-22.455826,-41.845676",2600,163,33
1639570439,2021-12-15T12:13:59Z,AZU4611,"-22.452118,-41.843029",2575,156,33
1639570446,2021-12-15T12:14:06Z,AZU4611,"-22.448374,-41.840412",2500,150,33
1639570452,2021-12-15T12:14:12Z,AZU4611,"-22.444794,-41.837887",2450,145,33
